town,county,acs_population,primary_action,secondary_signals,decision_note,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,climate_asset_sample_count,bridge_sample_count,culvert_sample_count,slr_site_sample_count,flood_site_sample_count
Casco,Cumberland,3696.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,37.1,56.06,39.33,36.85,48.33,25.92,39.71,10.98,1.44,26.33,19.61,11.31,40.77,21.72,0.0,0.0,0.0,0.0,0.0,0.0
Industry,Franklin,988.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,37.07,65.01,35.52,24.65,53.61,44.28,65.85,6.88,1.68,22.27,15.89,24.39,27.1,32.15,1.12,0.0,0.0,0.0,0.0,0.0
Dyer Brook,Aroostook,275.0,Infrastructure capacity build-out,infrastructure capacity gap,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",37.02,50.51,30.73,39.05,35.71,22.43,50.0,6.91,6.9,12.36,17.09,24.36,19.44,13.74,0.0,0.0,0.0,0.0,0.0,0.0
Cambridge,Somerset,532.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,36.99,48.11,42.59,32.14,42.69,48.13,0.0,14.1,0.43,18.61,18.61,19.17,17.2,21.99,0.0,0.0,0.0,0.0,0.0,0.0
Manchester,Kennebec,2424.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,36.98,41.76,29.33,45.13,29.63,29.36,30.88,4.46,3.46,22.57,13.16,19.02,14.81,9.92,0.0,0.0,0.0,0.0,0.0,0.0
Bethel,Oxford,2617.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,36.97,53.04,41.29,39.46,45.3,28.27,21.28,13.92,3.1,29.35,13.53,15.86,34.24,16.35,0.0,0.0,0.0,0.0,0.0,0.0
Northfield,Washington,263.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,36.91,48.36,55.92,36.98,46.3,20.79,0.0,20.53,11.11,39.16,14.83,11.41,61.03,11.7,0.0,0.0,0.0,0.0,0.0,0.0
Rome,Kennebec,1215.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,36.88,57.15,34.31,39.5,41.04,22.99,54.17,10.34,0.0,24.69,15.83,21.4,42.93,10.7,0.0,0.0,0.0,0.0,0.0,0.0
Blanchard UT,Piscataquis,81.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,36.81,63.89,51.11,20.99,60.33,33.33,100.0,11.11,0.0,72.84,22.22,0.0,42.4,66.67,0.0,0.0,0.0,0.0,0.0,0.0
Mariaville,Hancock,724.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,36.8,66.72,33.17,28.65,51.64,35.4,58.49,9.94,6.19,17.68,8.29,19.61,35.7,25.49,1.3,0.0,0.0,0.0,0.0,0.0
Wayne,Kennebec,1101.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,36.77,49.56,33.85,44.21,37.98,33.82,25.0,7.9,0.56,29.25,11.63,13.35,28.09,11.25,0.56,0.0,0.0,0.0,0.0,0.0
Woodland,Aroostook,1196.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,36.76,30.5,36.31,45.61,25.02,28.64,0.0,13.91,0.0,17.98,14.3,25.17,4.68,5.59,3.01,0.0,0.0,0.0,0.0,0.0
Brownfield,Oxford,1830.0,Infrastructure capacity build-out,infrastructure capacity gap; workforce commute pressure,"Housing need is visible, but transportation/digital/service capacity appears weaker in the MVP screen.",36.65,57.8,34.13,29.22,47.64,30.94,61.82,8.09,5.1,18.47,15.3,26.67,23.54,27.54,0.75,0.0,0.0,0.0,0.0,0.0
Surry,Hancock,1836.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,36.6,55.4,35.36,34.5,44.74,27.5,65.79,7.03,2.02,30.94,15.41,16.56,27.41,21.03,0.0,0.0,0.0,0.0,0.0,0.0
Boothbay,Lincoln,3102.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,36.58,50.55,38.05,42.87,37.53,27.49,30.38,6.79,3.12,35.43,15.91,11.48,33.56,4.53,0.59,0.0,0.0,0.0,0.0,0.0
Bristol,Lincoln,2917.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,36.57,46.28,38.22,48.01,37.3,26.39,23.45,6.42,1.8,42.78,13.88,13.88,40.75,6.48,0.0,0.0,0.0,0.0,0.0,0.0
Cushing,Knox,1460.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,36.54,45.48,27.92,47.75,29.73,23.96,33.7,7.74,2.19,20.55,9.75,17.12,23.22,4.56,0.0,0.0,0.0,0.0,0.0,0.0
Morrill,Waldo,914.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,36.49,37.18,29.69,38.11,29.52,28.35,34.29,6.26,1.93,18.49,14.93,22.76,1.36,18.41,0.83,0.0,0.0,0.0,0.0,0.0
Beals,Washington,498.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,36.45,38.89,42.85,41.69,35.42,29.1,7.41,10.84,4.48,30.12,17.07,16.06,17.7,8.99,4.04,0.0,0.0,0.0,0.0,0.0
Eastbrook,Hancock,742.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,36.44,52.42,51.56,32.89,49.84,27.85,8.11,21.16,1.22,25.47,23.18,17.39,38.19,18.95,0.0,0.0,0.0,0.0,0.0,0.0
Porter,Oxford,1746.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,36.41,45.48,33.11,34.51,38.86,22.75,43.9,9.76,1.89,20.45,15.18,16.84,12.4,23.35,1.26,0.0,0.0,0.0,0.0,0.0
Kennebunkport,York,3684.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,36.33,46.46,38.85,43.58,42.13,27.05,25.83,4.57,5.68,36.94,17.81,7.95,30.44,16.58,0.0,0.0,0.0,0.0,0.0,0.0
Smithfield,Somerset,856.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,36.33,55.32,32.16,41.36,42.04,28.8,42.86,5.84,2.91,29.67,11.57,10.05,37.48,14.67,0.0,0.0,0.0,0.0,0.0,0.0
Bancroft UT,Aroostook,78.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; digital resilience gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,36.31,59.37,87.44,1.34,85.82,33.33,0.0,53.85,10.91,94.87,32.05,0.0,40.22,100.0,38.18,0.0,0.0,0.0,0.0,0.0
Friendship,Knox,1213.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap; sample asset review,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,36.28,53.59,39.45,38.4,44.32,23.33,37.5,9.98,3.8,37.26,12.7,15.33,37.9,15.37,0.0,1.0,0.0,0.0,0.0,1.0
Southeast Piscataquis UT,Piscataquis,437.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,36.23,52.61,55.46,29.58,52.75,28.96,0.0,24.49,1.53,28.83,19.68,20.82,44.5,19.39,3.06,0.0,0.0,0.0,0.0,0.0
Sumner,Oxford,845.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,36.22,66.29,36.97,24.58,57.13,41.98,100.0,5.8,3.5,29.7,13.85,17.16,34.05,35.22,1.62,0.0,0.0,0.0,0.0,0.0
Sebago,Cumberland,2073.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,36.11,63.22,35.53,28.06,54.4,27.73,53.26,13.69,1.19,17.37,14.09,19.78,38.86,31.41,0.59,0.0,0.0,0.0,0.0,0.0
Long Island,Cumberland,249.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,36.05,62.01,32.42,32.46,50.17,33.33,88.89,4.42,8.65,28.92,7.63,18.07,72.58,26.47,0.0,0.0,0.0,0.0,0.0,0.0
Whiting,Washington,506.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,36.03,55.59,45.86,31.4,49.28,36.84,33.33,5.34,2.12,27.47,34.19,17.79,33.94,17.35,2.97,0.0,0.0,0.0,0.0,0.0
Danforth,Washington,666.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,36.02,60.79,53.45,20.06,62.15,32.5,36.11,13.87,1.75,26.13,36.64,13.36,42.07,32.37,5.26,0.0,0.0,0.0,0.0,0.0
Great Pond,Hancock,42.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,36.02,59.77,45.87,26.57,57.62,22.22,100.0,14.29,0.0,59.52,11.9,7.14,42.86,45.45,0.0,0.0,0.0,0.0,0.0,0.0
St. Agatha,Aroostook,842.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,36.02,41.59,35.61,43.35,31.87,13.78,35.48,10.69,3.76,27.32,14.96,16.98,20.04,7.53,0.0,0.0,0.0,0.0,0.0,0.0
Alna,Lincoln,818.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,35.98,42.23,20.78,43.43,27.68,30.92,42.86,2.08,0.68,17.36,8.61,32.89,10.09,13.79,0.0,0.0,0.0,0.0,0.0,0.0
Blaine,Aroostook,706.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,35.89,29.32,30.86,46.99,21.41,25.0,20.0,5.69,0.0,18.13,21.53,24.08,3.81,5.67,0.0,0.0,0.0,0.0,0.0,0.0
Orrington,Penobscot,3853.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,35.85,26.27,29.47,49.64,20.83,23.24,11.86,6.64,0.49,23.77,13.96,16.38,3.99,6.73,0.0,0.0,0.0,0.0,0.0,0.0
Acton,York,2721.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,35.76,60.9,38.16,27.54,55.44,29.41,100.0,7.82,4.5,26.17,18.82,13.12,51.17,35.66,0.0,0.0,0.0,0.0,0.0,0.0
Bowdoin,Sagadahoc,3188.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,35.73,30.62,29.68,40.79,28.13,36.05,0.0,10.95,0.0,14.12,9.79,19.13,0.0,20.32,0.0,0.0,0.0,0.0,0.0,0.0
Lamoine,Hancock,1782.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,35.71,45.35,30.77,45.29,33.96,26.56,23.27,8.92,2.84,25.48,7.74,15.04,26.0,9.21,0.0,0.0,0.0,0.0,0.0,0.0
Searsmont,Waldo,1646.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,35.41,36.91,27.28,43.43,28.53,16.87,41.38,6.64,0.3,20.96,14.5,13.85,10.4,13.81,0.0,0.0,0.0,0.0,0.0,0.0
Owls Head,Knox,1482.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,35.39,49.43,33.05,43.23,36.99,29.05,29.85,5.71,2.24,31.92,12.14,13.56,32.19,7.78,0.45,0.0,0.0,0.0,0.0,0.0
Newcastle,Lincoln,1913.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,35.38,29.96,32.8,51.22,23.73,25.86,5.84,3.49,7.07,24.36,16.43,17.77,14.1,1.98,0.99,0.0,0.0,0.0,0.0,0.0
Argyle UT,Penobscot,286.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,35.36,44.48,25.18,42.98,31.05,19.63,100.0,5.59,0.0,13.99,16.78,22.73,18.25,11.85,0.0,0.0,0.0,0.0,0.0,0.0
Knox,Waldo,825.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,35.31,35.4,34.2,38.89,31.62,32.25,11.32,8.56,2.56,17.33,17.58,13.94,7.98,16.99,0.57,0.0,0.0,0.0,0.0,0.0
Perham,Aroostook,326.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,35.26,40.31,32.7,40.44,31.48,28.57,33.33,2.45,2.24,24.54,21.17,19.63,15.47,9.79,2.24,0.0,0.0,0.0,0.0,0.0
Hersey,Aroostook,47.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,35.24,48.99,66.54,23.58,59.42,16.67,0.0,21.28,17.39,34.04,29.79,8.51,34.69,29.41,0.0,0.0,0.0,0.0,0.0,0.0
Durham,Androscoggin,4262.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,35.23,29.48,19.47,47.8,21.49,24.62,25.0,4.15,0.72,16.61,5.54,19.73,1.76,13.63,0.0,0.0,0.0,0.0,0.0,0.0
Lake View,Piscataquis,181.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,35.23,58.92,38.05,29.7,46.23,34.69,100.0,3.87,0.0,43.65,13.81,1.66,80.34,13.1,5.0,0.0,0.0,0.0,0.0,0.0
Macwahoc,Aroostook,79.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; hazard-overlay first; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,35.17,46.58,69.53,20.49,60.56,22.64,0.0,31.65,0.0,54.43,55.7,0.0,28.87,70.0,0.0,3.0,0.0,3.0,0.0,0.0
Beaver Cove,Piscataquis,394.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,35.16,37.29,51.98,46.63,38.33,13.75,0.0,17.51,0.0,70.05,19.54,2.54,46.15,4.39,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Kennebec,2823.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,35.16,27.87,33.54,39.84,28.1,24.04,14.95,8.69,0.78,22.56,17.3,23.27,0.0,18.78,0.58,0.0,0.0,0.0,0.0,0.0
Hebron,Oxford,1105.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,35.15,27.21,31.83,42.76,25.27,32.74,0.0,8.9,0.91,19.55,12.9,19.1,0.0,14.58,0.91,0.0,0.0,0.0,0.0,0.0
Holden,Penobscot,3352.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,34.99,29.95,20.31,50.75,18.48,21.24,22.78,3.15,5.65,15.13,5.44,21.51,6.83,3.96,0.69,0.0,0.0,0.0,0.0,0.0
Cornville,Somerset,1419.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,34.98,37.87,38.68,34.61,37.74,21.04,15.15,12.21,10.16,18.82,14.18,17.34,11.66,22.59,0.44,0.0,0.0,0.0,0.0,0.0
Cooper,Washington,157.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,34.95,51.31,48.06,31.53,49.72,33.33,0.0,20.38,0.0,22.93,19.11,16.56,43.98,20.27,1.25,0.0,0.0,0.0,0.0,0.0
Freedom,Waldo,670.0,Monitor and screen after hazard layers,sample asset review; workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,34.91,41.53,40.2,30.15,42.36,28.15,21.05,11.49,3.38,22.09,17.91,22.24,12.5,24.38,4.89,1.0,0.0,0.0,0.0,1.0
Raymond,Cumberland,4610.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,34.91,52.8,27.68,39.71,43.61,28.16,38.32,5.33,2.69,22.21,10.37,19.13,33.11,21.51,0.0,0.0,0.0,0.0,0.0,0.0
Wesley,Washington,320.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,34.8,54.44,53.51,23.57,57.59,12.69,27.27,34.69,2.24,16.56,30.0,15.62,34.5,31.21,0.0,0.0,0.0,0.0,0.0,0.0
Frye Island,Cumberland,34.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,34.78,49.71,39.41,38.49,39.19,80.0,0.0,5.88,0.0,64.71,5.88,0.0,97.04,7.69,0.0,0.0,0.0,0.0,0.0,0.0
Topsfield,Washington,214.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,34.74,49.89,54.98,24.46,55.22,40.52,0.0,13.08,4.92,44.86,21.5,13.08,29.17,30.38,0.0,0.0,0.0,0.0,0.0,0.0
Mount Vernon,Kennebec,1716.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,34.72,46.46,30.19,43.39,36.58,29.91,26.92,4.82,1.77,26.46,12.49,20.75,29.01,11.55,0.82,0.0,0.0,0.0,0.0,0.0
Lovell,Oxford,1353.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,34.71,54.85,33.46,35.02,46.43,22.04,45.28,10.01,1.01,26.53,12.71,15.45,53.82,21.68,0.67,0.0,0.0,0.0,0.0,0.0
Arrowsic,Sagadahoc,597.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,34.58,33.74,39.16,40.27,35.56,23.56,0.0,16.08,1.19,31.83,8.21,22.45,13.82,19.35,0.0,0.0,0.0,0.0,0.0,0.0
East Central Washington UT,Washington,573.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,34.58,48.55,41.92,37.23,41.98,17.42,24.14,16.2,1.1,24.43,18.21,20.07,38.92,9.46,2.93,0.0,0.0,0.0,0.0,0.0
Mapleton,Aroostook,1884.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,34.36,29.43,32.78,42.27,28.2,17.38,16.67,8.93,4.6,18.31,16.83,22.19,7.14,14.68,0.64,0.0,0.0,0.0,0.0,0.0
Wellington,Piscataquis,161.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,34.24,43.07,59.61,31.56,53.55,21.11,0.0,17.09,4.3,39.75,29.81,8.07,58.3,20.0,6.45,0.0,0.0,0.0,0.0,0.0
Sidney,Kennebec,4790.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,34.15,30.4,24.54,43.97,25.85,24.9,16.35,6.43,0.37,18.39,9.25,23.07,7.3,15.2,0.0,0.0,0.0,0.0,0.0,0.0
Abbot,Piscataquis,584.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,34.11,45.64,41.55,39.32,42.06,20.51,6.67,16.44,6.19,16.27,16.95,6.51,40.47,11.9,2.06,0.0,0.0,0.0,0.0,0.0
South Bristol,Lincoln,1069.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,34.05,44.14,34.9,44.9,35.79,27.75,15.0,7.6,0.82,30.68,14.97,8.23,45.18,6.64,0.0,0.0,0.0,0.0,0.0,0.0
Mercer,Somerset,718.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,34.02,36.61,36.03,41.0,34.3,14.89,18.52,13.65,2.06,25.91,12.26,20.06,18.82,13.54,1.47,0.0,0.0,0.0,0.0,0.0
Haynesville,Aroostook,131.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,34.01,65.49,40.94,15.54,59.64,46.77,100.0,2.29,1.47,24.43,25.19,10.69,35.09,27.54,11.76,0.0,0.0,0.0,0.0,0.0
Newry,Oxford,177.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,33.82,50.87,41.21,32.43,47.31,38.57,25.0,3.39,0.0,42.37,18.08,13.56,93.98,14.71,7.69,0.0,0.0,0.0,0.0,0.0
Limerick,York,3400.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,33.8,45.3,31.57,30.67,45.12,23.86,38.78,6.91,3.31,17.09,18.32,18.68,18.6,36.77,0.24,0.0,0.0,0.0,0.0,0.0
St. George,Knox,2606.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,33.8,46.52,34.4,40.51,40.8,20.68,27.17,7.67,4.79,39.22,5.87,11.13,36.16,13.7,1.7,0.0,0.0,0.0,0.0,0.0
Drew UT,Penobscot,33.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,33.79,33.22,48.94,26.42,44.11,16.67,0.0,27.27,0.0,15.15,24.24,30.3,7.14,75.0,0.0,0.0,0.0,0.0,0.0,0.0
Bowerbank,Piscataquis,211.0,Seasonal market stabilization,seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,33.77,54.09,34.17,32.82,49.83,26.74,100.0,3.79,0.0,33.65,17.06,6.64,71.2,24.76,4.44,0.0,0.0,0.0,0.0,0.0
Newfield,York,1580.0,Resilience before or alongside growth,resilience before growth; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,33.76,56.14,44.58,22.78,56.75,26.21,33.33,10.51,8.91,26.9,20.7,12.59,34.19,45.63,0.99,0.0,0.0,0.0,0.0,0.0
Amity,Aroostook,395.0,Seasonal market stabilization,seasonal/year-round housing pressure; sample asset review,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,33.73,39.29,52.01,34.63,43.87,13.28,0.0,15.19,16.18,26.84,21.77,26.84,28.16,14.74,2.21,1.0,0.0,1.0,0.0,0.0
China,Kennebec,4526.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,33.72,40.41,29.21,39.69,36.1,33.15,10.59,5.99,3.64,21.41,9.52,20.44,21.58,18.49,0.42,0.0,0.0,0.0,0.0,0.0
Monhegan,Lincoln,120.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,33.66,42.9,31.86,47.56,32.03,27.59,0.0,1.67,53.06,16.67,5.0,4.17,70.39,2.06,0.0,0.0,0.0,0.0,0.0,0.0
Crystal,Aroostook,247.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,33.65,32.16,52.78,28.22,43.07,14.88,14.29,14.69,1.6,48.99,21.86,16.19,11.35,23.29,4.8,0.0,0.0,0.0,0.0,0.0
Ogunquit,York,1379.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,33.59,37.76,37.27,49.3,36.79,30.82,0.0,3.19,4.05,43.58,13.13,5.73,64.07,9.54,0.6,0.0,0.0,0.0,0.0,0.0
Hartford,Oxford,1314.0,Resilience before or alongside growth,resilience before growth; high housing need; seasonal/year-round housing pressure; infrastructure capacity gap; workforce commute pressure,Housing pressure overlaps vulnerability; pair housing work with recovery capacity and infrastructure resilience.,33.58,61.14,28.64,26.45,51.03,32.9,100.0,7.4,0.95,17.88,11.57,23.36,34.1,30.71,0.0,0.0,0.0,0.0,0.0,0.0
Chapman,Aroostook,388.0,Monitor and screen after hazard layers,monitor after hazard-layer ingestion,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,33.55,21.98,33.52,42.79,23.4,28.0,0.0,6.44,0.0,27.58,15.58,27.58,0.0,10.22,3.68,0.0,0.0,0.0,0.0,0.0
